,index,age,sports,fashion,food,pet,Top Likes,age_group,Total Likes,Segment
0,ashleypham,24,9.0,8.0,16.0,42.0,pet,Young Adult,75.0,1
1,twilliams,14,0.0,0.0,38.0,39.0,pet,Teenager,77.0,1
2,shelleygutierrez,53,15.0,16.0,106.0,17.0,food,Adult,154.0,3
3,xjackson,51,42.0,47.0,46.0,47.0,age,Adult,182.0,5
4,caroline45,34,18.0,40.0,9.0,8.0,fashion,Adult,75.0,1
5,lopezkristen,55,8.0,0.0,9.0,3.0,age,Adult,20.0,1
6,amber87,36,25.0,23.0,24.0,23.0,age,Adult,95.0,5
7,jillian12,48,4.0,21.0,4.0,2.0,age,Adult,31.0,1
8,wilsonjulie,27,0.0,18.0,55.0,18.0,food,Adult,91.0,5
9,stevengreen,43,84.0,12.0,11.0,12.0,sports,Adult,119.0,2
10,meganjohnson,30,17.0,10.0,8.0,45.0,pet,Adult,80.0,1
11,pamela94,36,4.0,5.0,6.0,40.0,pet,Adult,55.0,1
12,brianmcconnell,19,94.0,20.0,37.0,17.0,sports,Young Adult,168.0,2
13,jorgejames,28,22.0,19.0,21.0,22.0,age,Adult,84.0,1
14,ashley74,33,4.0,3.0,24.0,3.0,age,Adult,34.0,1
15,bauerjeff,14,0.0,5.0,12.0,11.0,age,Teenager,28.0,1
16,sheila46,37,31.0,32.0,223.0,32.0,food,Adult,318.0,3
17,ericamiller,35,8.0,8.0,0.0,8.0,age,Adult,24.0,1
18,qhernandez,21,8.0,8.0,8.0,54.0,pet,Young Adult,78.0,5
19,joshua85,32,15.0,76.0,15.0,27.0,fashion,Adult,133.0,5
20,mcintyredonald,33,247.0,36.0,37.0,37.0,sports,Adult,357.0,2
21,monica10,17,16.0,111.0,16.0,16.0,fashion,Teenager,159.0,4
22,edwardbennett,21,57.0,56.0,55.0,57.0,sports,Young Adult,225.0,5
23,hchan,23,21.0,22.0,22.0,20.0,age,Young Adult,85.0,1
24,robertslisa,39,12.0,0.0,26.0,27.0,age,Adult,65.0,1
25,robbinslindsey,18,0.0,4.0,0.0,5.0,age,Teenager,9.0,1
26,rebecca11,14,71.0,72.0,72.0,72.0,fashion,Teenager,287.0,4
27,cameron95,22,2.0,10.0,2.0,3.0,age,Young Adult,17.0,1
28,robert28,45,29.0,29.0,26.0,28.0,age,Adult,112.0,5
29,mark13,57,0.0,0.0,4.0,27.0,age,Adult,31.0,1
30,murphyemily,27,0.0,0.0,19.0,168.0,pet,Adult,187.0,0
31,williamsoncrystal,26,0.0,0.0,21.0,19.0,age,Adult,40.0,1
32,samuel30,19,28.0,28.0,0.0,15.0,sports,Young Adult,71.0,1
33,alison30,23,44.0,45.0,44.0,44.0,fashion,Young Adult,177.0,5
34,anna35,19,0.0,0.0,1.0,12.0,age,Young Adult,13.0,1
35,ericadillon,29,118.0,17.0,16.0,18.0,sports,Adult,169.0,2
36,mjohnston,21,0.0,83.0,0.0,84.0,pet,Young Adult,167.0,4
37,lindafigueroa,16,0.0,0.0,120.0,15.0,food,Teenager,135.0,3
38,davispaul,28,25.0,168.0,24.0,23.0,fashion,Adult,240.0,4
39,jamieodonnell,19,48.0,48.0,0.0,21.0,sports,Young Adult,117.0,5
40,williamsmelissa,18,19.0,20.0,18.0,128.0,pet,Teenager,185.0,0
41,amandacraig,48,61.0,0.0,0.0,61.0,sports,Adult,122.0,5
42,kcarr,28,0.0,49.0,50.0,24.0,food,Adult,123.0,5
43,amber20,46,6.0,7.0,8.0,8.0,age,Adult,29.0,1
44,chadcarlson,30,0.0,3.0,5.0,3.0,age,Adult,11.0,1
45,harrisjoseph,48,26.0,6.0,4.0,11.0,age,Adult,47.0,1
46,ericgriffin,15,38.0,42.0,42.0,44.0,pet,Teenager,166.0,5
47,hansenmaria,47,20.0,21.0,20.0,21.0,age,Adult,82.0,1
48,lstephens,17,8.0,10.0,8.0,67.0,pet,Teenager,93.0,5
49,melanieramos,35,20.0,18.0,99.0,39.0,food,Adult,176.0,3
50,benjaminhenderson,17,0.0,9.0,0.0,10.0,age,Teenager,19.0,1
51,wmitchell,33,12.0,12.0,0.0,5.0,age,Adult,29.0,1
52,kathrynrocha,16,30.0,54.0,0.0,60.0,pet,Teenager,144.0,5
53,fmeza,16,62.0,0.0,0.0,8.0,sports,Teenager,70.0,1
54,nealscott,52,0.0,0.0,32.0,31.0,age,Adult,63.0,1
55,jnavarro,36,0.0,10.0,24.0,22.0,age,Adult,56.0,1
56,cordovamartha,25,185.0,27.0,27.0,27.0,sports,Young Adult,266.0,2
57,hallmary,31,0.0,0.0,18.0,18.0,age,Adult,36.0,1
58,estradamadeline,31,0.0,0.0,45.0,6.0,food,Adult,51.0,1
59,karen31,17,36.0,36.0,35.0,35.0,sports,Teenager,142.0,5
60,tanya04,17,24.0,23.0,24.0,24.0,sports,Teenager,95.0,5
61,coopercolleen,36,24.0,0.0,60.0,19.0,food,Adult,103.0,5
62,xrobinson,20,57.0,56.0,0.0,28.0,sports,Young Adult,141.0,5
63,scottcarla,19,76.0,76.0,0.0,80.0,pet,Young Adult,232.0,4
64,michael48,16,28.0,26.0,28.0,29.0,pet,Teenager,111.0,5
65,gallegoserika,37,6.0,6.0,5.0,5.0,age,Adult,22.0,1
66,stephenpayne,15,28.0,52.0,0.0,51.0,fashion,Teenager,131.0,5
67,andrea60,23,24.0,4.0,3.0,4.0,sports,Young Adult,35.0,1
68,lindsey70,37,42.0,46.0,0.0,48.0,pet,Adult,136.0,5
69,sherry22,14,50.0,24.0,25.0,123.0,pet,Teenager,222.0,0
70,reginamitchell,42,140.0,20.0,18.0,20.0,sports,Adult,198.0,2
71,laurenwoodard,19,0.0,55.0,64.0,61.0,food,Young Adult,180.0,5
72,ericking,34,4.0,6.0,6.0,37.0,pet,Adult,53.0,1
73,kristen06,14,18.0,54.0,0.0,19.0,fashion,Teenager,91.0,5
74,kellerchristine,29,12.0,0.0,13.0,13.0,age,Adult,38.0,1
75,holly94,27,27.0,27.0,27.0,27.0,age,Adult,108.0,5
76,ryanmclaughlin,18,8.0,0.0,1.0,1.0,age,Teenager,10.0,1
77,bernardamy,26,39.0,8.0,16.0,8.0,sports,Adult,71.0,1
78,douglasjohnson,29,20.0,19.0,18.0,20.0,age,Adult,77.0,1
79,stephensontiffany,31,1.0,9.0,1.0,1.0,age,Adult,12.0,1
80,rosssteven,35,36.0,6.0,8.0,13.0,sports,Adult,63.0,1
81,vasquezjoshua,24,0.0,50.0,0.0,50.0,fashion,Young Adult,100.0,5
82,robert61,30,52.0,46.0,52.0,52.0,sports,Adult,202.0,5
83,saracollier,43,1.0,2.0,18.0,2.0,age,Adult,23.0,1
84,belljennifer,49,20.0,0.0,20.0,22.0,age,Adult,62.0,1
85,jerry89,29,85.0,12.0,11.0,12.0,sports,Adult,120.0,2
86,beth89,22,1.0,9.0,1.0,0.0,age,Young Adult,11.0,1
87,wrightcody,33,96.0,0.0,0.0,96.0,sports,Adult,192.0,0
88,qwilson,42,42.0,6.0,7.0,8.0,age,Adult,63.0,1
89,ricealexandria,31,37.0,37.0,0.0,35.0,sports,Adult,109.0,5
90,wschmidt,16,55.0,29.0,29.0,140.0,pet,Teenager,253.0,0
91,jamesregina,30,27.0,25.0,27.0,25.0,age,Adult,104.0,5
92,andreawright,43,58.0,0.0,170.0,56.0,food,Adult,284.0,3
93,zsuarez,32,8.0,8.0,61.0,9.0,food,Adult,86.0,1
94,byrdtaylor,40,0.0,14.0,15.0,16.0,age,Adult,45.0,1
95,devin48,36,20.0,20.0,20.0,20.0,age,Adult,80.0,1
96,richardgarcia,43,5.0,4.0,9.0,24.0,age,Adult,42.0,1
97,bridgetgraham,17,0.0,0.0,45.0,50.0,pet,Teenager,95.0,5
98,nicholas92,22,0.0,36.0,71.0,72.0,pet,Young Adult,179.0,5
99,robertcarter,23,0.0,32.0,32.0,32.0,fashion,Young Adult,96.0,5
100,caleb29,58,31.0,31.0,31.0,31.0,age,Adult,124.0,5
101,elizabeth19,25,52.0,8.0,7.0,8.0,sports,Young Adult,75.0,1
102,hollyyu,30,25.0,0.0,25.0,12.0,age,Adult,62.0,1
103,freemansharon,31,56.0,18.0,0.0,19.0,sports,Adult,93.0,5
104,paulakennedy,20,24.0,71.0,0.0,21.0,fashion,Young Adult,116.0,5
105,cody53,17,1.0,4.0,8.0,0.0,age,Teenager,13.0,1
106,ryanryan,36,2.0,13.0,7.0,2.0,age,Adult,24.0,1
107,cassandra40,32,10.0,10.0,10.0,8.0,age,Adult,38.0,1
108,ovelasquez,24,5.0,0.0,0.0,39.0,pet,Young Adult,44.0,1
109,martinsusan,21,93.0,13.0,13.0,12.0,sports,Young Adult,131.0,2
110,vbrown,40,16.0,32.0,16.0,80.0,pet,Adult,144.0,5
111,munozjohn,16,4.0,0.0,4.0,4.0,age,Teenager,12.0,1
112,knightrandy,14,14.0,0.0,12.0,16.0,pet,Teenager,42.0,1
113,lorraineellis,19,22.0,4.0,4.0,9.0,sports,Young Adult,39.0,1
114,brian39,18,32.0,33.0,32.0,33.0,fashion,Teenager,130.0,5
115,katrinadaugherty,43,146.0,59.0,27.0,28.0,sports,Adult,260.0,2
116,terri42,41,24.0,49.0,23.0,120.0,pet,Adult,216.0,0
117,acastro,22,19.0,5.0,9.0,3.0,age,Young Adult,36.0,1
118,watsonjo,15,28.0,30.0,30.0,208.0,pet,Teenager,296.0,0
119,paula48,59,0.0,0.0,84.0,84.0,food,Adult,168.0,0
120,watkinsmichael,49,21.0,20.0,18.0,148.0,pet,Adult,207.0,0
121,lewisjeff,33,2.0,2.0,17.0,3.0,age,Adult,24.0,1
122,charles72,16,5.0,0.0,10.0,10.0,age,Teenager,25.0,1
123,ojensen,36,52.0,46.0,52.0,46.0,sports,Adult,196.0,5
